ext_id,price,processed_ontology,size,special_price
14354,990,candles,,
12863,2540,heels,40,1270
13119,1790,flats,41,895
12244,2490,jewelry,,
11602,790,vases_and_accessories,,
11052,1690,new,37,1183
11142,2490,wedge,"39,40,41",1743
12954,1840,jewelry,,920
12251,990,jewelry,,495
13340,840,drinkware,,
14790,1960,flats,"36,37,38,39,40",
13832,1940,heels,38,1358
9099,3000,home_decor,,1690
12508,1690,flats,41,1183
12877,2640,heels,39,1848
12243,1740,jewelry,,1218
16113,1270,drinkware,,
11422,2640,jewelry,,
16110,1600,drinkware,,
16109,1600,drinkware,,
14502,2490,tops,XS,1743
12250,940,jewelry,,
14175,3240,skirt,XS,1944
12953,1840,jewelry,,920
15286,3990,accessories,,
15282,1295,accessories,,
12296,1790,sandals,37,690
13078,1790,new,"36,37,38,40,41",
12303,1790,sandals,39,1253
15290,1790,shoes,39,1432
12870,2640,heels,38,1848
13649,15850,home_decor,,
13655,21130,home_decor,,
13652,12680,home_decor,,
13650,15850,home_decor,,
14087,1990,drinkware,,
14359,1240,accessories,,620
12965,2440,heels,38,1464
13284,790,scarves,,
14428,1740,flats,37,1218
13522,1290,table_linen,,
14094,790,wall_art,,
13470,1240,jewelry,,620
14912,2790,serveware,,
12018,1490,tops,M,596
14583,1740,tops,S,1218
13807,1690,skirt,"S,L",845
13918,2140,dresses,L,1070
13963,2490,tops,XL,1245
12216,1440,new,XL,
12180,1890,tops,XL,
11889,1840,,L,640
13259,1490,tops,XL,894
12024,1440,tops,XL,576
13677,1940,dresses,XL,970
12898,2340,dresses,XL,1170
12192,1590,new,XL,
12618,2790,bags,,1674
13387,2190,nightwear,XL,1533
14975,2640,pants,One Size,
13776,2240,dresses,"L,XL",1120
14937,2940,dresses,XL,
11915,1730,serveware,,
12613,1040,dining__entertaining,,676
13395,1690,tops,XL,1183
14509,1640,tops,XL,1148
15857,2140,dresses,"S,XL",
12400,1790,jewelry,,1074
12241,1190,headbands,,440
11539,1790,flats,39,1253
13341,990,organisation__storage,,743
14347,2640,pants,XS,1584
13933,1590,jewelry,,795
14133,3240,shoes,38,1620
14711,1790,barware,39,
15267,1790,shoes,41,
14070,2240,tops,One Size,
11695,890,table_linen,,579
13036,1790,flats,38,1253
9677,3770,home_decor,,1885
16721,2490,dresses,S,
14341,1440,accessories,,864
13684,1940,dresses,S,
15015,1940,shoes,"37,41",
16004,2790,,,1395
11981,1490,,XS,745
12126,2940,serveware,,
9680,1510,bed_linen,,
11996,1790,serveware,,1164
